# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1747804683197000000,1747804689385000000,0
workspaceModel.check.recursive.update.ms,1747804683197000000,1747804689385000000,0
workspaceModel.updates.ms,1747804683197000000,1747804689385000000,0
workspaceModel.init.bridges.ms,1747804683197000000,1747804689385000000,0
workspaceModel.collect.changes.ms,1747804683197000000,1747804689385000000,0
workspaceModel.updates.count,1747804683197000000,1747804689385000000,0
workspaceModel.replace.project.model.ms,1747804683197000000,1747804689385000000,0
workspaceModel.loading.total.ms,1747804683197000000,1747804689385000000,24
workspaceModel.initializing.ms,1747804683197000000,1747804689385000000,0
workspaceModel.pre.handlers.ms,1747804683197000000,1747804689385000000,0
workspaceModel.to.snapshot.ms,1747804683197000000,1747804689385000000,0
workspaceModel.updates.precise.ms,1747804683197000000,1747804689385000000,0
workspaceModel.loading.from.cache.ms,1747804683197000000,1747804689385000000,17
DirectByteBufferAllocator.misses,1747804683197000000,1747804689385000000,192
FilePageCache.totalPageLoadsUs,1747804683197000000,1747804689385000000,140870
StorageLockContext.competingThreads.avg,1747804683197000000,1747804689385000000,0.0
FilePageCacheLockFree.nativeBytesInUse,1747804683197000000,1747804689385000000,0
DirectByteBufferAllocator.hits,1747804683197000000,1747804689385000000,3
FilePageCache.capacityInBytes,1747804683197000000,1747804689385000000,503316478
FilePageCacheLockFree.totalPagesRequestsMs,1747804683197000000,1747804689385000000,6
StorageLockContext.competingThreads.max,1747804683197000000,1747804689385000000,0
MappedFileStorage.totalBytesMapped,1747804683197000000,1747804689385000000,0
FilePageCache.totalPageDisposalsUs,1747804683197000000,1747804689385000000,536
FilePageCacheLockFree.totalNativeBytesReclaimed,1747804683197000000,1747804689385000000,16384
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747804683197000000,1747804689385000000,2
FilePageCacheLockFree.totalBytesWritten,1747804683197000000,1747804689385000000,0
DirectByteBufferAllocator.reclaimed,1747804683197000000,1747804689385000000,45
FilePageCache.pageLoadsAboveSizeThreshold,1747804683197000000,1747804689385000000,0
StorageLockContext.competingThreads.90P,1747804683197000000,1747804689385000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747804683197000000,1747804689385000000,41959424
FilePageCacheLockFree.housekeeperTurnsSkipped,1747804683197000000,1747804689385000000,4621
FileChannelInterruptsRetryer.totalRetriedAttempts,1747804683197000000,1747804689385000000,0
FilePageCacheLockFree.totalPagesRequested,1747804683197000000,1747804689385000000,4
FilePageCacheLockFree.housekeeperTimeSpentMs,1747804683197000000,1747804689385000000,23
FilePageCacheLockFree.totalBytesRequested,1747804683197000000,1747804689385000000,32768
FilePageCacheLockFree.totalPagesAllocated,1747804683197000000,1747804689385000000,2
