# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.mutableEntityStorage.referrers.ms,1747806404557000000,1747806468448000000,0
workspaceModel.save.cache.to.file.ms,1747806404557000000,1747806468448000000,1707
jps.project.serializers.load.ms,1747806404557000000,1747806468448000000,2
workspaceModel.moduleManagerBridge.load.module.ms,1747806404557000000,1747806468448000000,0
jps.load.project.to.empty.storage.ms,1747806404557000000,1747806468448000000,32
workspaceModel.mutableEntityStorage.modify.entity.ms,1747806404557000000,1747806468448000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1747806404557000000,1747806468448000000,2
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747806404557000000,1747806468448000000,1
jps.apply.loaded.storage.ms,1747806404557000000,1747806468448000000,25
jps.reload.project.entities.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1747806404557000000,1747806468448000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747806404557000000,1747806468448000000,0
workspaceModel.global.apply.state.to.project.ms,1747806404557000000,1747806468448000000,0
jps.save.changed.project.entities.ms,1747806404557000000,1747806468448000000,42
jps.storage.jps.conf.reader.load.component.ms,1747806404557000000,1747806468448000000,2
jps.global.initialize.library.bridges.after.loading.ms,1747806404557000000,1747806468448000000,0
workspaceModel.mutableEntityStorage.add.diff.ms,1747806404557000000,1747806468448000000,5
jps.global.get.libraries.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747806404557000000,1747806468448000000,3
workspaceModel.moduleBridge.facet.initialization.ms,1747806404557000000,1747806468448000000,0
jps.load.initial.state.ms,1747806404557000000,1747806468448000000,4
jps.save.global.entities.ms,1747806404557000000,1747806468448000000,1
jps.project.serializers.save.ms,1747806404557000000,1747806468448000000,42
workspaceModel.mutableEntityStorage.collect.changes.ms,1747806404557000000,1747806468448000000,1
workspaceModel.mutableEntityStorage.entities.ms,1747806404557000000,1747806468448000000,2
jps.module.iml.entities.serializer.save.entities.ms,1747806404557000000,1747806468448000000,15
jps.facet.change.listener.before.change.events.ms,1747806404557000000,1747806468448000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1747806404557000000,1747806468448000000,1
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747806404557000000,1747806468448000000,4
workspaceModel.mutableEntityStorage.has.same.entities.ms,1747806404557000000,1747806468448000000,0
jps.global.get.library.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleBridge.before.changed.ms,1747806404557000000,1747806468448000000,1
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747806404557000000,1747806468448000000,1
jps.app.storage.content.reader.load.component.ms,1747806404557000000,1747806468448000000,0
workspaceModel.load.cache.metadata.from.file.ms,1747806404557000000,1747806468448000000,0
jps.modifiable.module.model.bridge.renaming.ms,1747806404557000000,1747806468448000000,0
workspaceModel.load.cache.from.file.ms,1747806404557000000,1747806468448000000,0
workspaceModel.sync.entities.ms,1747806404557000000,1747806468448000000,0
jps.artifact.entities.serializer.load.entities.ms,1747806404557000000,1747806468448000000,0
jps.modifiable.module.model.bridge.load.module.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleBridge.update.option.ms,1747806404557000000,1747806468448000000,0
jps.global.handle.before.change.events.ms,1747806404557000000,1747806468448000000,0
workspaceModel.global.updates.count,1747806404557000000,1747806468448000000,0
jps.modifiable.module.model.bridge.disposing.ms,1747806404557000000,1747806468448000000,0
workspaceModel.orphan.listener.update.ms,1747806404557000000,1747806468448000000,3
workspaceModel.mutableEntityStorage.add.entity.ms,1747806404557000000,1747806468448000000,9
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747806404557000000,1747806468448000000,84
jps.facet.change.listener.process.change.events.ms,1747806404557000000,1747806468448000000,1
jps.global.handle.changed.events.ms,1747806404557000000,1747806468448000000,0
jps.library.entities.serializer.load.entities.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747806404557000000,1747806468448000000,0
jps.global.get.library.by.name.ms,1747806404557000000,1747806468448000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747806404557000000,1747806468448000000,10
jps.library.entities.serializer.save.entities.ms,1747806404557000000,1747806468448000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1747806404557000000,1747806468448000000,6
workspaceModel.moduleManagerBridge.newModule.ms,1747806404557000000,1747806468448000000,0
jps.app.storage.content.writer.save.component.ms,1747806404557000000,1747806468448000000,0
jps.modifiable.module.model.bridge.new.module.ms,1747806404557000000,1747806468448000000,23
jps.facet.change.listener.init.bridge.ms,1747806404557000000,1747806468448000000,1
jps.global.initialize.library.bridges.ms,1747806404557000000,1747806468448000000,0
jps.artifact.entities.serializer.save.entities.ms,1747806404557000000,1747806468448000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747806404557000000,1747806468448000000,0
jps.module.iml.entities.serializer.load.entities.ms,1747806404557000000,1747806468448000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1747806404557000000,1747806468448000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1747806404557000000,1747806468448000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747806404557000000,1747806468448000000,3
workspaceModel.global.updates.ms,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.heapBytesInUse,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747806404557000000,1747806468448000000,0
DirectByteBufferAllocator.hits,1747806404557000000,1747806468448000000,3
StreamlinedBlobStorage.recordsRelocated,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalBytesWritten,1747806404557000000,1747806468448000000,4226
FilePageCacheLockFree.totalHeapBytesAllocated,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalPagesHandedOver,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747806404557000000,1747806468448000000,16384
MappedFileStorage.storages,1747806404557000000,1747806468448000000,15
FilePageCacheLockFree.totalPagesRequested,1747806404557000000,1747806468448000000,68
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747806404557000000,1747806468448000000,0
StorageLockContext.competingThreads.90P,1747806404557000000,1747806468448000000,0
FilePageCache.totalPageDisposalsUs,1747806404557000000,1747806468448000000,4413
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747806404557000000,1747806468448000000,2681685
MappedFileStorage.totalBytesMapped,1747806404557000000,1747806468448000000,136314880
StreamlinedBlobStorage.recordsAllocated,1747806404557000000,1747806468448000000,32679
FilePageCacheLockFree.totalPageAllocationsWaited,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalPagesReadMs,1747806404557000000,1747806468448000000,1
FilePageCacheLockFree.totalPagesRequestsMs,1747806404557000000,1747806468448000000,1
FilePageCache.disposedBuffers,1747806404557000000,1747806468448000000,3
FileChannelInterruptsRetryer.totalRetriedAttempts,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalBytesRead,1747806404557000000,1747806468448000000,3151
FilePageCache.pageHits,1747806404557000000,1747806468448000000,67
FilePageCache.maxCacheSizeInBytes,1747806404557000000,1747806468448000000,268451840
FilePageCacheLockFree.totalPagesWriteMs,1747806404557000000,1747806468448000000,1
FilePageCache.pageLoadsAboveSizeThreshold,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalBytesRequested,1747806404557000000,1747806468448000000,557056
FilePageCacheLockFree.housekeeperTimeSpentMs,1747806404557000000,1747806468448000000,3678
FilePageCacheLockFree.housekeeperTurnsSkipped,1747806404557000000,1747806468448000000,10805
MappedFileStorage.totalPagesMapped,1747806404557000000,1747806468448000000,15
FilePageCacheLockFree.nativeBytesInUse,1747806404557000000,1747806468448000000,16384
FilePageCache.pageFastCacheHits,1747806404557000000,1747806468448000000,8232
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747806404557000000,1747806468448000000,761067
FilePageCacheLockFree.totalPagesReclaimed,1747806404557000000,1747806468448000000,0
FilePageCache.pageLoads,1747806404557000000,1747806468448000000,261
FilePageCacheLockFree.housekeeperTurnsDone,1747806404557000000,1747806468448000000,114
FilePageCache.maxRegisteredFiles,1747806404557000000,1747806468448000000,547
StreamlinedBlobStorage.recordsDeleted,1747806404557000000,1747806468448000000,19
FilePageCache.uncachedFileAccess,1747806404557000000,1747806468448000000,164
FilePageCache.capacityInBytes,1747806404557000000,1747806468448000000,503316478
FilePageCache.totalPageLoadsUs,1747806404557000000,1747806468448000000,481947
DirectByteBufferAllocator.reclaimed,1747806404557000000,1747806468448000000,3
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747806404557000000,1747806468448000000,268468224
DirectByteBufferAllocator.misses,1747806404557000000,1747806468448000000,260
StorageLockContext.competingThreads.max,1747806404557000000,1747806468448000000,0
DirectByteBufferAllocator.disposed,1747806404557000000,1747806468448000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1747806404557000000,1747806468448000000,0
StorageLockContext.competingThreads.avg,1747806404557000000,1747806468448000000,0.0
FilePageCacheLockFree.totalPagesWritten,1747806404557000000,1747806468448000000,2
MappedFileStorage.totalTimeSpentOnMappingUs,1747806404557000000,1747806468448000000,12060
FilePageCacheLockFree.totalPagesAllocated,1747806404557000000,1747806468448000000,2
workspaceModel.replace.project.model.ms,1747806404557000000,1747806468448000000,0
workspaceModel.updates.precise.ms,1747806404557000000,1747806468448000000,0
workspaceModel.loading.from.cache.ms,1747806404557000000,1747806468448000000,16
workspaceModel.updates.ms,1747806404557000000,1747806468448000000,851
