# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileNameCache.queries,1747805809062000000,1747805869448000000,1030005
FileNameCache.totalMisses,1747805809062000000,1747805869448000000,83050
FlushQueue.queueSize90P,1747805809062000000,1747805869448000000,41
FlushQueue.queueSizeMax,1747805809062000000,1747805869448000000,108
NonBlockingReadAction.finalizedExecutionsCount,1747805809062000000,1747805869448000000,87
FlushQueue.tasksExecuted,1747805809062000000,1747805869448000000,1905
AWTEventQueue.dispatchTimeMaxNs,1747805809062000000,1747805869448000000,4697620479
FlushQueue.waitingTime90PNs,1747805809062000000,1747805869448000000,1124073471
ReadAction.executionsCount,1747805809062000000,1747805869448000000,78409
AWTEventQueue.dispatchTimeTotalNS,1747805809062000000,1747805869448000000,45844625067
NonBlockingReadAction.failedExecutionsCount,1747805809062000000,1747805869448000000,1
FlushQueue.executionTime90PNs,1747805809062000000,1747805869448000000,1081343
FlushQueue.executionTimeAvgNs,1747805809062000000,1747805869448000000,6836928.604724409
AWTEventQueue.eventsDispatched,1747805809062000000,1747805869448000000,1901
NonBlockingReadAction.finalizedExecutionTimeUs,1747805809062000000,1747805869448000000,3379983
AWTEventQueue.dispatchTime90PNs,1747805809062000000,1747805869448000000,16252927
WriteAction.executionsCount,1747805809062000000,1747805869448000000,48
FlushQueue.waitingTimeMaxNs,1747805809062000000,1747805869448000000,14696841215
NonBlockingReadAction.failedExecutionTimeUs,1747805809062000000,1747805869448000000,5301
FlushQueue.queueSizeAvg,1747805809062000000,1747805869448000000,14.318110236220473
FlushQueue.executionTimeMaxNs,1747805809062000000,1747805869448000000,1820327935
AWTEventQueue.dispatchTimeAvgNs,1747805809062000000,1747805869448000000,2.4110144488164123E7
FlushQueue.waitingTimeAvgNs,1747805809062000000,1747805869448000000,6.852711583244095E8
workspaceModel.updates.count,1747805809062000000,1747805869448000000,3
workspaceModel.updates.precise.ms,1747805809062000000,1747805869448000000,1
workspaceModel.update.unloaded.entities.ms,1747805809062000000,1747805869448000000,0
workspaceModel.initializing.ms,1747805809062000000,1747805869448000000,3
workspaceModel.init.bridges.ms,1747805809062000000,1747805869448000000,3
workspaceModel.to.snapshot.ms,1747805809062000000,1747805869448000000,0
workspaceModel.loading.total.ms,1747805809062000000,1747805869448000000,1739
workspaceModel.collect.changes.ms,1747805809062000000,1747805869448000000,0
workspaceModel.check.recursive.update.ms,1747805809062000000,1747805869448000000,1
workspaceModel.pre.handlers.ms,1747805809062000000,1747805869448000000,0
workspaceModel.loading.from.cache.ms,1747805809062000000,1747805869448000000,1217
workspaceModel.replace.project.model.ms,1747805809062000000,1747805869448000000,0
workspaceModel.updates.ms,1747805809062000000,1747805869448000000,119
JVM.GC.collections,1747805809062000000,1747805869448000000,17
JVM.totalBytesAllocated,1747805809062000000,1747805869448000000,2014626432
OS.loadAverage,1747805809062000000,1747805869448000000,77.681640625
JVM.usedHeapBytes,1747805809062000000,1747805869448000000,591879872
JVM.totalCpuTimeMs,1747805809062000000,1747805869448000000,36661
JVM.threadCount,1747805809062000000,1747805869448000000,124
JVM.maxNativeBytes,1747805809062000000,1747805869448000000,-1
JVM.usedNativeBytes,1747805809062000000,1747805869448000000,380156584
JVM.GC.collectionTimesMs,1747805809062000000,1747805869448000000,266
JVM.maxHeapBytes,1747805809062000000,1747805869448000000,2147483648
Indexes.stubs.lookupDuration90PMs,1747805809062000000,1747805869448000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1747805809062000000,1747805869448000000,0.0
Indexes.entries.lookupDurationMaxMs,1747805809062000000,1747805869448000000,19.0
IndexesFlusher.totalFlushingTimeUs,1747805809062000000,1747805869448000000,25002612
Indexes.stubs.lookupDurationAvgMs,1747805809062000000,1747805869448000000,1.077663671373556
Indexes.entries.lookupDurationAvgMs,1747805809062000000,1747805869448000000,0.7801418439716312
Indexes.allKeys.lookups,1747805809062000000,1747805869448000000,0.0
Indexes.entries.lookupDuration90PMs,1747805809062000000,1747805869448000000,1.0
IndexesFlusher.totalFlushesRetried,1747805809062000000,1747805869448000000,0
IndexesFlusher.totalFlushes,1747805809062000000,1747805869448000000,69
IndexesFlusher.totalContentionQuotaSpent,1747805809062000000,1747805869448000000,0
