# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.avg,1747805109417000000,1747805169480000000,0.009174311926605505
FilePageCacheLockFree.totalPagesReclaimed,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1747805109417000000,1747805169480000000,3042
FilePageCacheLockFree.totalPagesHandedOver,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.nativeBytesInUse,1747805109417000000,1747805169480000000,16384
FilePageCache.disposedBuffers,1747805109417000000,1747805169480000000,3
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747805109417000000,1747805169480000000,504641
FilePageCacheLockFree.totalPagesRequested,1747805109417000000,1747805169480000000,49
StreamlinedBlobStorage.recordsRelocated,1747805109417000000,1747805169480000000,0
MappedFileStorage.storages,1747805109417000000,1747805169480000000,13
FilePageCacheLockFree.totalHeapBytesReclaimed,1747805109417000000,1747805169480000000,0
StreamlinedBlobStorage.recordsDeleted,1747805109417000000,1747805169480000000,19
FilePageCache.pageHits,1747805109417000000,1747805169480000000,65
FilePageCacheLockFree.housekeeperTurnsSkipped,1747805109417000000,1747805169480000000,12139
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747805109417000000,1747805169480000000,250642432
FilePageCacheLockFree.totalPageAllocationsWaited,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.heapBytesInUse,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747805109417000000,1747805169480000000,16384
FileChannelInterruptsRetryer.totalRetriedAttempts,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.totalPagesWriteMs,1747805109417000000,1747805169480000000,25
FilePageCacheLockFree.totalPagesAllocated,1747805109417000000,1747805169480000000,2
FilePageCacheLockFree.totalPagesRequestsMs,1747805109417000000,1747805169480000000,3
MappedFileStorage.totalTimeSpentOnMappingUs,1747805109417000000,1747805169480000000,1065405
DirectByteBufferAllocator.hits,1747805109417000000,1747805169480000000,3
MappedFileStorage.totalBytesMapped,1747805109417000000,1747805169480000000,127926272
FilePageCache.maxCacheSizeInBytes,1747805109417000000,1747805169480000000,250626048
FilePageCache.pageFastCacheHits,1747805109417000000,1747805169480000000,7516
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747805109417000000,1747805169480000000,0
DirectByteBufferAllocator.disposed,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.totalBytesRead,1747805109417000000,1747805169480000000,2386
DirectByteBufferAllocator.misses,1747805109417000000,1747805169480000000,243
FilePageCache.totalPageLoadsUs,1747805109417000000,1747805169480000000,190656
FilePageCache.pageLoads,1747805109417000000,1747805169480000000,244
FilePageCache.totalPageDisposalsUs,1747805109417000000,1747805169480000000,1249
FilePageCacheLockFree.totalBytesRequested,1747805109417000000,1747805169480000000,401408
FilePageCache.pageLoadsAboveSizeThreshold,1747805109417000000,1747805169480000000,0
FilePageCache.maxRegisteredFiles,1747805109417000000,1747805169480000000,547
StorageLockContext.competingThreads.90P,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1747805109417000000,1747805169480000000,0
FilePageCacheLockFree.totalPagesReadMs,1747805109417000000,1747805169480000000,1
FilePageCache.capacityInBytes,1747805109417000000,1747805169480000000,503316478
DirectByteBufferAllocator.reclaimed,1747805109417000000,1747805169480000000,3
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747805109417000000,1747805169480000000,2348017
MappedFileStorage.totalPagesMapped,1747805109417000000,1747805169480000000,13
FilePageCache.uncachedFileAccess,1747805109417000000,1747805169480000000,162
StorageLockContext.competingThreads.max,1747805109417000000,1747805169480000000,1
FilePageCacheLockFree.totalBytesWritten,1747805109417000000,1747805169480000000,2419
StreamlinedBlobStorage.recordsAllocated,1747805109417000000,1747805169480000000,32637
FilePageCacheLockFree.totalPagesWritten,1747805109417000000,1747805169480000000,1
FilePageCacheLockFree.housekeeperTurnsDone,1747805109417000000,1747805169480000000,109
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747805109417000000,1747805169480000000,0
FlushQueue.queueSize90P,1747805109417000000,1747805169480000000,34
FlushQueue.executionTime90PNs,1747805109417000000,1747805169480000000,1507327
FlushQueue.waitingTimeAvgNs,1747805109417000000,1747805169480000000,1.9556648205358437E8
FlushQueue.waitingTimeMaxNs,1747805109417000000,1747805169480000000,7784628223
NonBlockingReadAction.finalizedExecutionsCount,1747805109417000000,1747805169480000000,49
NonBlockingReadAction.finalizedExecutionTimeUs,1747805109417000000,1747805169480000000,1080285
AWTEventQueue.dispatchTime90PNs,1747805109417000000,1747805169480000000,17563647
FlushQueue.executionTimeAvgNs,1747805109417000000,1747805169480000000,1.0975915437364228E7
NonBlockingReadAction.failedExecutionTimeUs,1747805109417000000,1747805169480000000,3645
AWTEventQueue.dispatchTimeTotalNS,1747805109417000000,1747805169480000000,38093247566
AWTEventQueue.dispatchTimeMaxNs,1747805109417000000,1747805169480000000,4764729343
FlushQueue.waitingTime90PNs,1747805109417000000,1747805169480000000,333447167
WriteAction.executionsCount,1747805109417000000,1747805169480000000,45
AWTEventQueue.dispatchTimeAvgNs,1747805109417000000,1747805169480000000,2.6735839870786518E7
FlushQueue.executionTimeMaxNs,1747805109417000000,1747805169480000000,4764729343
FlushQueue.tasksExecuted,1747805109417000000,1747805169480000000,1381
NonBlockingReadAction.failedExecutionsCount,1747805109417000000,1747805169480000000,1
ReadAction.executionsCount,1747805109417000000,1747805169480000000,93212
FlushQueue.queueSizeAvg,1747805109417000000,1747805169480000000,12.301230992034757
AWTEventQueue.eventsDispatched,1747805109417000000,1747805169480000000,1424
FlushQueue.queueSizeMax,1747805109417000000,1747805169480000000,84
FileNameCache.totalMisses,1747805109417000000,1747805169480000000,99980
FileNameCache.queries,1747805109417000000,1747805169480000000,1334818
JVM.maxNativeBytes,1747805109417000000,1747805169480000000,-1
JVM.totalBytesAllocated,1747805109417000000,1747805169480000000,2020482296
OS.loadAverage,1747805109417000000,1747805169480000000,48.33740234375
JVM.maxHeapBytes,1747805109417000000,1747805169480000000,2147483648
