# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StreamlinedBlobStorage.recordsAllocated,1747808593069000000,1747808656086000000,32683
FilePageCacheLockFree.totalPagesAllocated,1747808593069000000,1747808656086000000,2
MappedFileStorage.totalTimeSpentOnMappingUs,1747808593069000000,1747808656086000000,16994
MappedFileStorage.totalPagesMapped,1747808593069000000,1747808656086000000,14
FilePageCacheLockFree.totalPagesHandedOver,1747808593069000000,1747808656086000000,0
FilePageCacheLockFree.totalPagesReadMs,1747808593069000000,1747808656086000000,22
FilePageCache.pageLoadsAboveSizeThreshold,1747808593069000000,1747808656086000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1747808593069000000,1747808656086000000,0
FilePageCacheLockFree.totalBytesWritten,1747808593069000000,1747808656086000000,0
FilePageCacheLockFree.heapBytesInUse,1747808593069000000,1747808656086000000,0
FilePageCache.totalPageDisposalsUs,1747808593069000000,1747808656086000000,1859
FilePageCacheLockFree.housekeeperTimeSpentMs,1747808593069000000,1747808656086000000,4643
DirectByteBufferAllocator.reclaimed,1747808593069000000,1747808656086000000,3
FilePageCache.disposedBuffers,1747808593069000000,1747808656086000000,3
FilePageCacheLockFree.nativeBytesInUse,1747808593069000000,1747808656086000000,16384
DirectByteBufferAllocator.hits,1747808593069000000,1747808656086000000,3
FilePageCacheLockFree.totalNativeBytesAllocated,1747808593069000000,1747808656086000000,16384
DirectByteBufferAllocator.misses,1747808593069000000,1747808656086000000,237
MappedFileStorage.storages,1747808593069000000,1747808656086000000,14
FilePageCache.maxRegisteredFiles,1747808593069000000,1747808656086000000,537
FilePageCacheLockFree.totalNativeBytesReclaimed,1747808593069000000,1747808656086000000,0
FilePageCache.uncachedFileAccess,1747808593069000000,1747808656086000000,134
FilePageCacheLockFree.housekeeperTurnsDone,1747808593069000000,1747808656086000000,107
FilePageCacheLockFree.totalPagesRequested,1747808593069000000,1747808656086000000,4
FilePageCacheLockFree.totalHeapBytesAllocated,1747808593069000000,1747808656086000000,0
StorageLockContext.competingThreads.max,1747808593069000000,1747808656086000000,0
StorageLockContext.competingThreads.avg,1747808593069000000,1747808656086000000,0.0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747808593069000000,1747808656086000000,244350976
FilePageCacheLockFree.totalPagesReclaimed,1747808593069000000,1747808656086000000,0
FilePageCache.pageFastCacheHits,1747808593069000000,1747808656086000000,4890
FilePageCacheLockFree.totalBytesRead,1747808593069000000,1747808656086000000,4226
FilePageCacheLockFree.housekeeperTurnsSkipped,1747808593069000000,1747808656086000000,6913
StorageLockContext.competingThreads.90P,1747808593069000000,1747808656086000000,0
FilePageCache.capacityInBytes,1747808593069000000,1747808656086000000,503316478
StreamlinedBlobStorage.recordsDeleted,1747808593069000000,1747808656086000000,19
StreamlinedBlobStorage.recordsRelocated,1747808593069000000,1747808656086000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747808593069000000,1747808656086000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747808593069000000,1747808656086000000,41
FilePageCacheLockFree.totalPagesWritten,1747808593069000000,1747808656086000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747808593069000000,1747808656086000000,0
MappedFileStorage.totalBytesMapped,1747808593069000000,1747808656086000000,132120576
FilePageCacheLockFree.totalPagesWriteMs,1747808593069000000,1747808656086000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747808593069000000,1747808656086000000,772372
FilePageCacheLockFree.totalHeapBytesReclaimed,1747808593069000000,1747808656086000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1747808593069000000,1747808656086000000,0
FilePageCache.pageLoads,1747808593069000000,1747808656086000000,238
FilePageCache.totalPageLoadsUs,1747808593069000000,1747808656086000000,203695
DirectByteBufferAllocator.disposed,1747808593069000000,1747808656086000000,0
FlushQueue.executionTimeMaxNs,1747808593069000000,1747808656086000000,0
FlushQueue.executionTime90PNs,1747808593069000000,1747808656086000000,0
FlushQueue.queueSizeMax,1747808593069000000,1747808656086000000,0
FlushQueue.queueSize90P,1747808593069000000,1747808656086000000,0
FlushQueue.waitingTimeAvgNs,1747808593069000000,1747808656086000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1747808593069000000,1747808656086000000,29705578049
NonBlockingReadAction.finalizedExecutionsCount,1747808593069000000,1747808656086000000,1
FlushQueue.waitingTime90PNs,1747808593069000000,1747808656086000000,0
ReadAction.executionsCount,1747808593069000000,1747808656086000000,230
AWTEventQueue.eventsDispatched,1747808593069000000,1747808656086000000,0
FlushQueue.tasksExecuted,1747808593069000000,1747808656086000000,0
AWTEventQueue.dispatchTime90PNs,1747808593069000000,1747808656086000000,0
FlushQueue.waitingTimeMaxNs,1747808593069000000,1747808656086000000,0
FlushQueue.queueSizeAvg,1747808593069000000,1747808656086000000,0.0
NonBlockingReadAction.failedExecutionsCount,1747808593069000000,1747808656086000000,0
AWTEventQueue.dispatchTimeMaxNs,1747808593069000000,1747808656086000000,0
FlushQueue.executionTimeAvgNs,1747808593069000000,1747808656086000000,0.0
WriteAction.executionsCount,1747808593069000000,1747808656086000000,5
AWTEventQueue.dispatchTimeAvgNs,1747808593069000000,1747808656086000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1747808593069000000,1747808656086000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1747808593069000000,1747808656086000000,117521
Indexes.stubs.lookups,1747808656086000000,1747808713113000000,0.0
Indexes.entries.lookupDurationAvgMs,1747808656086000000,1747808713113000000,0.0
Indexes.entries.lookupDurationMaxMs,1747808656086000000,1747808713113000000,0.0
Indexes.entries.lookups,1747808656086000000,1747808713113000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1747808656086000000,1747808713113000000,0.0
Indexes.entries.lookupDuration90PMs,1747808656086000000,1747808713113000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1747808656086000000,1747808713113000000,0.0
IndexesFlusher.totalFlushesRetried,1747808656086000000,1747808713113000000,0
Indexes.stubs.lookupDuration90PMs,1747808656086000000,1747808713113000000,0.0
IndexesFlusher.totalFlushes,1747808656086000000,1747808713113000000,136
IndexesFlusher.totalFlushingTimeUs,1747808656086000000,1747808713113000000,15701951
IndexesFlusher.totalContentionQuotaSpent,1747808656086000000,1747808713113000000,0
Indexes.allKeys.lookupDuration90PMs,1747808656086000000,1747808713113000000,0.0
Indexes.allKeys.lookups,1747808656086000000,1747808713113000000,0.0
