# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexes.entries.lookupDurationAvgMs,1747802592250000000,1747802652336000000,0.0
Indexes.stubs.lookupDurationMaxMs,1747802592250000000,1747802652336000000,0.0
IndexesFlusher.totalFlushesRetried,1747802592250000000,1747802652336000000,36
IndexesFlusher.totalFlushingTimeUs,1747802592250000000,1747802652336000000,8889019
Indexes.entries.lookupDurationMaxMs,1747802592250000000,1747802652336000000,0.0
Indexes.stubs.lookupDuration90PMs,1747802592250000000,1747802652336000000,0.0
IndexesFlusher.totalContentionQuotaSpent,1747802592250000000,1747802652336000000,39
Indexes.allKeys.lookupDurationAvgMs,1747802592250000000,1747802652336000000,0.0
Indexes.allKeys.lookups,1747802592250000000,1747802652336000000,0.0
Indexes.entries.lookupDuration90PMs,1747802592250000000,1747802652336000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1747802592250000000,1747802652336000000,0.0
IndexesFlusher.totalFlushes,1747802592250000000,1747802652336000000,107
Indexes.stubs.lookups,1747802592250000000,1747802652336000000,0.0
Indexes.stubs.lookupDurationAvgMs,1747802592250000000,1747802652336000000,0.0
Indexes.entries.lookups,1747802592250000000,1747802652336000000,0.0
Indexes.allKeys.lookupDuration90PMs,1747802592250000000,1747802652336000000,0.0
workspaceModel.check.recursive.update.ms,1747802592250000000,1747802652336000000,1
workspaceModel.init.bridges.ms,1747802592250000000,1747802652336000000,1
workspaceModel.loading.total.ms,1747802592250000000,1747802652336000000,277
workspaceModel.replace.project.model.ms,1747802592250000000,1747802652336000000,0
workspaceModel.collect.changes.ms,1747802592250000000,1747802652336000000,0
workspaceModel.updates.ms,1747802592250000000,1747802652336000000,196
workspaceModel.update.unloaded.entities.ms,1747802592250000000,1747802652336000000,0
workspaceModel.pre.handlers.ms,1747802592250000000,1747802652336000000,0
workspaceModel.updates.precise.ms,1747802592250000000,1747802652336000000,0
workspaceModel.updates.count,1747802592250000000,1747802652336000000,3
workspaceModel.loading.from.cache.ms,1747802592250000000,1747802652336000000,214
workspaceModel.to.snapshot.ms,1747802592250000000,1747802652336000000,1
workspaceModel.initializing.ms,1747802592250000000,1747802652336000000,1
JVM.GC.collections,1747802592250000000,1747802652336000000,92
JVM.maxHeapBytes,1747802592250000000,1747802652336000000,2147483648
JVM.totalBytesAllocated,1747802592250000000,1747802652336000000,20338647224
OS.loadAverage,1747802592250000000,1747802652336000000,55.556640625
JVM.usedNativeBytes,1747802592250000000,1747802652336000000,413770464
JVM.threadCount,1747802592250000000,1747802652336000000,129
JVM.maxNativeBytes,1747802592250000000,1747802652336000000,-1
JVM.usedHeapBytes,1747802592250000000,1747802652336000000,739056128
JVM.GC.collectionTimesMs,1747802592250000000,1747802652336000000,866
JVM.totalCpuTimeMs,1747802592250000000,1747802652336000000,85113
AWTEventQueue.dispatchTimeMaxNs,1747802592250000000,1747802652336000000,0
FlushQueue.queueSizeMax,1747802592250000000,1747802652336000000,0
NonBlockingReadAction.finalizedExecutionsCount,1747802592250000000,1747802652336000000,42956
AWTEventQueue.dispatchTimeTotalNS,1747802592250000000,1747802652336000000,21792023773
FlushQueue.executionTimeMaxNs,1747802592250000000,1747802652336000000,0
FlushQueue.executionTimeAvgNs,1747802592250000000,1747802652336000000,0.0
AWTEventQueue.dispatchTime90PNs,1747802592250000000,1747802652336000000,0
FlushQueue.queueSizeAvg,1747802592250000000,1747802652336000000,0.0
NonBlockingReadAction.failedExecutionsCount,1747802592250000000,1747802652336000000,33
FlushQueue.executionTime90PNs,1747802592250000000,1747802652336000000,0
FlushQueue.waitingTimeMaxNs,1747802592250000000,1747802652336000000,0
NonBlockingReadAction.failedExecutionTimeUs,1747802592250000000,1747802652336000000,1057982
AWTEventQueue.dispatchTimeAvgNs,1747802592250000000,1747802652336000000,0.0
WriteAction.executionsCount,1747802592250000000,1747802652336000000,64
FlushQueue.queueSize90P,1747802592250000000,1747802652336000000,0
FlushQueue.waitingTime90PNs,1747802592250000000,1747802652336000000,0
ReadAction.executionsCount,1747802592250000000,1747802652336000000,466543
FlushQueue.waitingTimeAvgNs,1747802592250000000,1747802652336000000,0.0
AWTEventQueue.eventsDispatched,1747802592250000000,1747802652336000000,0
FlushQueue.tasksExecuted,1747802592250000000,1747802652336000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1747802592250000000,1747802652336000000,27414669
DirectByteBufferAllocator.reclaimed,1747802592250000000,1747802652336000000,5
StorageLockContext.competingThreads.avg,1747802592250000000,1747802652336000000,0.0
MappedFileStorage.totalBytesMapped,1747802592250000000,1747802652336000000,127926272
FilePageCacheLockFree.heapBytesInUse,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalPagesReadMs,1747802592250000000,1747802652336000000,1
FileChannelInterruptsRetryer.totalRetriedAttempts,1747802592250000000,1747802652336000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747802592250000000,1747802652336000000,338722816
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1747802592250000000,1747802652336000000,2347737
StreamlinedBlobStorage.recordsAllocated,1747802592250000000,1747802652336000000,32633
FilePageCache.totalPageLoadsUs,1747802592250000000,1747802652336000000,425803
DirectByteBufferAllocator.misses,1747802592250000000,1747802652336000000,327
FilePageCacheLockFree.housekeeperTimeSpentMs,1747802592250000000,1747802652336000000,1690
FilePageCacheLockFree.totalPageAllocationsWaited,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalPagesWriteMs,1747802592250000000,1747802652336000000,1
FilePageCache.uncachedFileAccess,1747802592250000000,1747802652336000000,721
FilePageCache.pageLoadsAboveSizeThreshold,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1747802592250000000,1747802652336000000,117
FilePageCacheLockFree.nativeBytesInUse,1747802592250000000,1747802652336000000,16384
FilePageCacheLockFree.totalPagesHandedOver,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalBytesWritten,1747802592250000000,1747802652336000000,2156
FilePageCacheLockFree.totalPagesAllocated,1747802592250000000,1747802652336000000,2
FilePageCache.pageFastCacheHits,1747802592250000000,1747802652336000000,6414810
DirectByteBufferAllocator.disposed,1747802592250000000,1747802652336000000,0
FilePageCache.pageHits,1747802592250000000,1747802652336000000,382700
StreamlinedBlobStorage.recordsRelocated,1747802592250000000,1747802652336000000,0
MappedFileStorage.storages,1747802592250000000,1747802652336000000,13
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1747802592250000000,1747802652336000000,16384
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1747802592250000000,1747802652336000000,504581
FilePageCache.pageLoads,1747802592250000000,1747802652336000000,330
FilePageCacheLockFree.totalPagesRequestsMs,1747802592250000000,1747802652336000000,2
FilePageCacheLockFree.totalPagesRequested,1747802592250000000,1747802652336000000,99
FilePageCache.capacityInBytes,1747802592250000000,1747802652336000000,503316478
MappedFileStorage.totalPagesMapped,1747802592250000000,1747802652336000000,13
FilePageCacheLockFree.totalHeapBytesAllocated,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalPagesWritten,1747802592250000000,1747802652336000000,6
StorageLockContext.competingThreads.90P,1747802592250000000,1747802652336000000,0
StorageLockContext.competingThreads.max,1747802592250000000,1747802652336000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747802592250000000,1747802652336000000,0
FilePageCache.maxCacheSizeInBytes,1747802592250000000,1747802652336000000,338706432
DirectByteBufferAllocator.hits,1747802592250000000,1747802652336000000,5
FilePageCacheLockFree.housekeeperTurnsSkipped,1747802592250000000,1747802652336000000,25998
FilePageCacheLockFree.totalBytesRequested,1747802592250000000,1747802652336000000,811008
FilePageCache.totalPageDisposalsUs,1747802592250000000,1747802652336000000,1407
MappedFileStorage.totalTimeSpentOnMappingUs,1747802592250000000,1747802652336000000,1198958
StreamlinedBlobStorage.recordsDeleted,1747802592250000000,1747802652336000000,19
FilePageCacheLockFree.totalPagesReclaimed,1747802592250000000,1747802652336000000,0
FilePageCacheLockFree.totalBytesRead,1747802592250000000,1747802652336000000,0
FilePageCache.maxRegisteredFiles,1747802592250000000,1747802652336000000,547
FilePageCache.disposedBuffers,1747802592250000000,1747802652336000000,5
FilePageCacheLockFree.totalHeapBytesReclaimed,1747802592250000000,1747802652336000000,0
workspaceModel.save.cache.to.file.ms,1747802592250000000,1747802652336000000,66
workspaceModel.moduleBridge.before.changed.ms,1747802592250000000,1747802652336000000,0
jps.app.storage.content.reader.load.component.ms,1747802592250000000,1747802652336000000,0
jps.save.changed.project.entities.ms,1747802592250000000,1747802652336000000,46
workspaceModel.mutableEntityStorage.entities.by.source.ms,1747802592250000000,1747802652336000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1747802592250000000,1747802652336000000,10
jps.storage.jps.conf.reader.load.component.ms,1747802592250000000,1747802652336000000,2
jps.app.storage.content.writer.save.component.ms,1747802592250000000,1747802652336000000,0
jps.artifact.entities.serializer.save.entities.ms,1747802592250000000,1747802652336000000,0
jps.modifiable.module.model.bridge.new.module.ms,1747802592250000000,1747802652336000000,25
workspaceModel.mutableEntityStorage.put.entity.ms,1747802592250000000,1747802652336000000,8
jps.load.project.to.empty.storage.ms,1747802592250000000,1747802652336000000,34
jps.module.iml.entities.serializer.load.entities.ms,1747802592250000000,1747802652336000000,0
jps.reload.project.entities.ms,1747802592250000000,1747802652336000000,0
jps.library.entities.serializer.load.entities.ms,1747802592250000000,1747802652336000000,0
jps.project.serializers.save.ms,1747802592250000000,1747802652336000000,46
workspaceModel.mutableEntityStorage.to.snapshot.ms,1747802592250000000,1747802652336000000,2
workspaceModel.load.cache.from.file.ms,1747802592250000000,1747802652336000000,0
workspaceModel.mutableEntityStorage.entities.ms,1747802592250000000,1747802652336000000,1
jps.module.iml.entities.serializer.save.entities.ms,1747802592250000000,1747802652336000000,18
workspaceModel.global.updates.ms,1747802592250000000,1747802652336000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1747802592250000000,1747802652336000000,1
workspaceModel.moduleBridge.update.option.ms,1747802592250000000,1747802652336000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1747802592250000000,1747802652336000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1747802592250000000,1747802652336000000,109
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1747802592250000000,1747802652336000000,0
jps.global.handle.before.change.events.ms,1747802592250000000,1747802652336000000,0
workspaceModel.global.updates.count,1747802592250000000,1747802652336000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1747802592250000000,1747802652336000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1747802592250000000,1747802652336000000,1
jps.facet.change.listener.process.change.events.ms,1747802592250000000,1747802652336000000,0
jps.global.get.library.ms,1747802592250000000,1747802652336000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1747802592250000000,1747802652336000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1747802592250000000,1747802652336000000,3
jps.apply.loaded.storage.ms,1747802592250000000,1747802652336000000,20
jps.save.global.entities.ms,1747802592250000000,1747802652336000000,1
