# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesWriteMs,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPagesReadMs,1747806335086000000,1747806382614000000,7
FilePageCacheLockFree.totalNativeBytesReclaimed,1747806335086000000,1747806382614000000,16384
FilePageCacheLockFree.totalHeapBytesReclaimed,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPagesHandedOver,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.heapBytesInUse,1747806335086000000,1747806382614000000,0
FilePageCache.totalPageLoadsUs,1747806335086000000,1747806382614000000,327954
FilePageCacheLockFree.housekeeperTurnsDone,1747806335086000000,1747806382614000000,89
MappedFileStorage.totalPagesMapped,1747806335086000000,1747806382614000000,0
DirectByteBufferAllocator.misses,1747806335086000000,1747806382614000000,196
FilePageCacheLockFree.totalBytesRead,1747806335086000000,1747806382614000000,3151
DirectByteBufferAllocator.hits,1747806335086000000,1747806382614000000,3
FilePageCacheLockFree.totalNativeBytesAllocated,1747806335086000000,1747806382614000000,16384
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1747806335086000000,1747806382614000000,44072960
FilePageCacheLockFree.totalPagesAllocated,1747806335086000000,1747806382614000000,2
DirectByteBufferAllocator.disposed,1747806335086000000,1747806382614000000,150
FilePageCache.pageLoads,1747806335086000000,1747806382614000000,197
FileChannelInterruptsRetryer.totalRetriedAttempts,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPagesWritten,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalBytesRequested,1747806335086000000,1747806382614000000,32768
FilePageCacheLockFree.nativeBytesInUse,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1747806335086000000,1747806382614000000,8409
FilePageCacheLockFree.totalBytesWritten,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1747806335086000000,1747806382614000000,19
DirectByteBufferAllocator.reclaimed,1747806335086000000,1747806382614000000,47
StorageLockContext.competingThreads.avg,1747806335086000000,1747806382614000000,0.0
MappedFileStorage.totalTimeSpentOnMappingUs,1747806335086000000,1747806382614000000,1091
FilePageCacheLockFree.totalHeapBytesAllocated,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPagesRequested,1747806335086000000,1747806382614000000,4
FilePageCache.pageFastCacheHits,1747806335086000000,1747806382614000000,4050
FilePageCache.totalPageDisposalsUs,1747806335086000000,1747806382614000000,4209
FilePageCache.maxCacheSizeInBytes,1747806335086000000,1747806382614000000,201342976
StorageLockContext.competingThreads.90P,1747806335086000000,1747806382614000000,0
FilePageCache.capacityInBytes,1747806335086000000,1747806382614000000,503316478
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1747806335086000000,1747806382614000000,41975808
FilePageCacheLockFree.totalClosedStoragesReclaimed,1747806335086000000,1747806382614000000,2
FilePageCache.maxRegisteredFiles,1747806335086000000,1747806382614000000,534
FilePageCacheLockFree.housekeeperTimeSpentMs,1747806335086000000,1747806382614000000,3038
FilePageCache.pageLoadsAboveSizeThreshold,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1747806335086000000,1747806382614000000,0
FilePageCache.pageHits,1747806335086000000,1747806382614000000,0
FilePageCacheLockFree.totalPagesReclaimed,1747806335086000000,1747806382614000000,2
StorageLockContext.competingThreads.max,1747806335086000000,1747806382614000000,0
MappedFileStorage.storages,1747806335086000000,1747806382614000000,0
FilePageCache.disposedBuffers,1747806335086000000,1747806382614000000,195
MappedFileStorage.totalBytesMapped,1747806335086000000,1747806382614000000,0
FilePageCache.uncachedFileAccess,1747806335086000000,1747806382614000000,111
FlushQueue.executionTimeAvgNs,1747806335086000000,1747806382614000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1747806335086000000,1747806382614000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1747806335086000000,1747806382614000000,173956
FlushQueue.queueSizeMax,1747806335086000000,1747806382614000000,0
FlushQueue.tasksExecuted,1747806335086000000,1747806382614000000,0
FlushQueue.queueSizeAvg,1747806335086000000,1747806382614000000,0.0
FlushQueue.waitingTime90PNs,1747806335086000000,1747806382614000000,0
FlushQueue.queueSize90P,1747806335086000000,1747806382614000000,0
NonBlockingReadAction.finalizedExecutionsCount,1747806335086000000,1747806382614000000,1
FlushQueue.waitingTimeAvgNs,1747806335086000000,1747806382614000000,0.0
AWTEventQueue.eventsDispatched,1747806335086000000,1747806382614000000,0
FlushQueue.waitingTimeMaxNs,1747806335086000000,1747806382614000000,0
WriteAction.executionsCount,1747806335086000000,1747806382614000000,1
ReadAction.executionsCount,1747806335086000000,1747806382614000000,130
AWTEventQueue.dispatchTimeTotalNS,1747806335086000000,1747806382614000000,12639809421
AWTEventQueue.dispatchTimeAvgNs,1747806335086000000,1747806382614000000,0.0
NonBlockingReadAction.failedExecutionsCount,1747806335086000000,1747806382614000000,0
FlushQueue.executionTimeMaxNs,1747806335086000000,1747806382614000000,0
AWTEventQueue.dispatchTimeMaxNs,1747806335086000000,1747806382614000000,0
AWTEventQueue.dispatchTime90PNs,1747806335086000000,1747806382614000000,0
FlushQueue.executionTime90PNs,1747806335086000000,1747806382614000000,0
